inventario_id,producto_id,almacen,stock_actual,stock_minimo,fecha_actualizacion
1,608,Bajío,-10.0,70,
2,773,Sur,,67,mal_fecha
3,1343,Norte,112.0,28,
4,835,Bajío,-10.0,37,
5,361,Occidente,,77,mal_fecha
6,868,Centro,,56,
7,1473,Occidente,,46,mal_fecha
8,776,Bajío,-10.0,21,
9,336,Bajío,-10.0,47,mal_fecha
10,1109,Bajío,,44,mal_fecha
11,1297,Centro,-10.0,7,
12,626,Centro,91.0,66,2026-01-01
13,158,Norte,-10.0,50,mal_fecha
14,1031,Sur,,72,
15,764,Bajío,116.0,79,
16,104,Occidente,42.0,26,
17,1458,Sur,,79,
18,220,Centro,,60,
19,84,Sur,,51,mal_fecha
20,1039,Bajío,-10.0,26,mal_fecha
21,1545,Centro,290.0,56,
22,1139,Bajío,,10,
23,1100,Centro,-10.0,11,2025-09-29
24,788,Centro,306.0,76,mal_fecha
25,536,Bajío,-10.0,51,
26,1356,Sur,248.0,8,
27,1399,Norte,,39,2025-09-11
28,705,Norte,41.0,77,
29,509,Occidente,-10.0,40,mal_fecha
30,1040,Occidente,-10.0,8,mal_fecha
31,750,Occidente,350.0,19,mal_fecha
32,187,Occidente,-10.0,71,
33,1335,Sur,-10.0,80,
34,615,Occidente,-10.0,69,2026-01-19
35,654,Occidente,,34,2026-01-04
36,300,Centro,326.0,63,
37,591,Bajío,-10.0,23,2026-01-26
38,352,Norte,185.0,46,
39,862,Norte,-10.0,16,mal_fecha
40,539,Occidente,,41,2025-12-01
41,177,Centro,397.0,73,
42,273,Bajío,-10.0,43,
43,439,Occidente,-10.0,38,
44,1329,Norte,,53,
45,1218,Sur,344.0,64,mal_fecha
46,977,Centro,274.0,29,2025-10-07
47,325,Norte,-10.0,17,
48,529,Bajío,-10.0,65,
49,1451,Centro,,67,mal_fecha
50,987,Occidente,-10.0,73,2026-06-23
51,881,Occidente,-10.0,63,
52,285,Norte,-10.0,49,
53,1377,Sur,-10.0,22,
54,1457,Sur,,27,2026-01-13
55,934,Bajío,-10.0,13,2026-05-12
56,617,Norte,307.0,35,2025-10-20
57,471,Norte,420.0,64,
58,1424,Centro,109.0,70,2026-01-20
59,381,Bajío,,54,
60,422,Bajío,,63,
61,1411,Sur,,78,mal_fecha
62,1562,Centro,,47,
63,616,Bajío,312.0,9,mal_fecha
64,599,Centro,,26,
65,1135,Occidente,,12,
66,403,Occidente,,50,
67,656,Bajío,,50,2025-08-22
68,126,Sur,-10.0,22,2026-04-02
69,717,Bajío,121.0,27,
